"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durSchoolSite","durSchoolOnline","durStudy","mainStudent","mainJobSearch","mainEmployed","mainWorked12m","mainWorkedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone"
10006,1,1,"neverMarried",35,"urban",1,4,2,635,60,50,650,0,0,0,0,0,NA,2,1,1,2,NA,3,NA,2,2,2
10007,5,2,"widowed",59,"urban",4,5,3,440,30,160,1200,60,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10009,6,1,"widowed",46,"urban",3,6,2,540,20,120,1060,70,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10013,3,1,"married",24,"urban",6,4,6,510,0,20,200,90,0,0,0,0,2,1,2,2,2,2,1,2,1,2,2
10016,7,1,"married",46,"rural",7,6,6,660,60,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10021,5,2,"married",12,"urban",6,6,1,660,0,50,640,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10025,2,1,"neverMarried",24,"urban",4,4,6,660,240,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2
10028,7,1,"married",12,"urban",6,4,1,655,0,80,210,35,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10031,7,2,"married",59,"urban",NA,6,1,495,0,135,1035,0,0,0,0,0,NA,NA,NA,2,2,NA,8,2,2,1,2
10038,6,2,"married",13,"rural",6,4,5,540,105,115,295,10,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10040,5,2,"separated",35,"rural",4,6,5,500,0,15,1290,120,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2
10046,6,2,"married",13,"urban",6,6,6,525,45,75,615,15,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
10061,5,1,"married",48,"rural",3,4,6,750,0,105,435,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,1,2
10070,5,2,"married",35,"urban",2,6,6,600,60,80,670,90,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10071,6,2,"widowed",13,"urban",6,5,2,510,10,120,995,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,NA,2
10077,5,1,"divorced",24,"urban",1,4,6,505,130,45,1335,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2
10078,7,2,"married",24,"urban",NA,6,6,900,0,120,0,0,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
10079,6,2,"widowed",11,"pei",1,6,2,720,60,65,1045,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2
10081,6,2,"divorced",48,"urban",3,5,6,525,90,40,900,25,510,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10084,6,1,"married",10,"rural",6,6,6,310,30,60,685,145,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10089,6,2,"married",24,"urban",7,4,6,480,35,160,370,20,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
